Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ecuador,574.58075,34.49263,976.31982,330.62109,114.89699,541.10382,341.27383,571.67297,196.23495,297.00211,790.91113,130.77603,90.47773,161.72137,821.85028,365.74121,161.08827,151.51515,406.87466,331.20264,327.617,80.32515,3.5949671,0.0,0.0,0.0,0.0,0.15560569,0.0,0.0,0.0,0.0,0.0,0.0,0.069213733,0.0,0.0,16.933517,4.6692605,0.0,0.0,0.0,,,,,,
Egypt,,89.10891,51.161167,92.136696,26.90156,110.69536,19.025375,39.299377,158.79689,17.081627,100.22713,110.62643,22.787165,34.014248,67.318092,72.43737,15.449732,20.952478,73.339333,46.902538,23.105478,28.769188,67.808357,69.628578,72.2491,22.542149,37.664864,30.185183,8.9957294,2.2167554,1.0612613,1.0028914,12.193093,21.172537,8.2515993,7.3728247,0.19023161,0.30268458,2.7900198,4.5096707,14.311699,57.924034,,,,,,
El Salvador,115.19487,123.1919,1704.4811,1747.5751,366.90811,2304.1545,505.34818,2696.885,775.28564,502.1907,982.71246,286.96182,55.722591,80.134544,153.74097,0.0,0.0,0.0,94.259262,6.9419074,0.0,0.0,0.17630465,0.0,0.0,0.0,0.0,0.33863866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Equatorial Guinea,,,,,,,,,,,585.79883,1292.4791,2095.7446,30423.076,37002.488,1405.7971,74.941452,72.562355,652.74725,333.33334,554.41479,87.128716,1.908397,0.0,,,,2092.1875,36.036037,25.899281,52.413792,,0.0,6.031363,502.30414,85.808578,0.0,0.0,1145.332,296.12546,11.514615,1063.8298,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,86.156822,175.36467,59.870552,572.20795,245.80829,98.014885,96.910965,232.53758,58.335716,127.24758,100.58855,6.2192278,4.7870998,31.47283,13.243439,0.0,19.025522,11.614666,10.726257,42.534531,9.6753387,26.759377,40.85001,,,,,,
Estonia,,,,,,,,,,,,,,,,,21.086262,83.333336,46.679817,209.67741,157.85861,11.863224,13.399154,12.765958,12.091039,8.5470085,6.4331665,0.0,0.0,0.0,0.0,1.4749262,20.014826,0.74404764,0.0,0.0,0.0,5.2710843,3.018868,1.5128593,0.0,3.0418251,,,,,,
Eswatini,,,4622.8892,,,,,4173.9131,14374.021,4965.0454,7050.0,4614.1846,3069.4822,5555.4106,1976.25,1753.9016,1701.5099,1655.7562,2253.863,7735.9307,647.55841,177.93965,2241.3442,606.57373,175.4386,0.0,9.4250708,45.666355,34.227566,321.98712,0.0,0.0,0.0,0.0,0.86281276,22.015242,260.18286,0.0,0.0,0.0,0.0,0.0,,,,,,
Ethiopia,119.96107,158.35048,78.016113,93.15329,328.98907,607.97919,303.13342,270.87485,283.46393,153.21527,249.07007,1630.9803,89.26664,111.09834,168.58809,89.735039,38.180798,9.9757128,93.227234,21.519436,20.439827,9.8063164,26.810921,18.253082,25.527916,82.441216,24.948524,34.544182,47.264423,3.1428769,0.97823757,4.6528602,18.401796,17.851852,42.20713,13.767912,48.287971,36.147789,47.023064,55.360004,130.83488,177.67564,,,,,,
Fiji,3382.3008,1778.163,360.54422,3986.6221,724.13794,2606.1094,1437.7953,1540.7067,1350.2994,456.9343,1181.4286,213.48314,535.46594,1488.9197,843.70679,73.103447,43.895748,,1300.6711,562.91388,50.913837,534.19354,49.7449,1044.1362,,,,20.884521,372.54901,373.31702,45.232273,,164.44981,0.0,0.0,1.1737089,0.0,,0.0,,,,,,,,,
Finland,2416.0459,717.10107,1839.0367,597.64063,488.6507,502.20081,448.41269,792.72351,1117.2699,977.16986,149.14075,125.02545,150.30426,128.38658,26.002823,207.35382,0.60048038,1.593943,0.99108028,0.0,0.19619384,1.1721039,0.0,0.0,0.19364834,,,0.1923077,0.0,0.0,0.0,0.19015022,0.0,0.0,0.93984962,0.37432155,0.9317928,5.0102057,,0.36784992,,0.36483034,,,,,,
France,99.437752,34.200447,48.915489,39.352718,37.73093,29.755716,23.006788,20.847914,14.885972,15.870699,17.748579,7.2025561,16.713343,,,,,2740.2949,1905.282,1337.4664,758.82465,931.26953,1128.2051,1361.4009,,,167.76271,,86.093819,,73.05336,0.58790869,0.64942443,0.62942821,9.6903582,24.582058,80.092659,235.9971,,4.2553191,4.1594615,2.4357324,,,,,,
Gabon,3524.3328,16872.309,4462.3496,9027.9824,6638.8491,4455.0562,2251.0288,3082.8877,2277.7053,5494.2822,8952.9707,6291.5664,8002.3447,2364.8804,726.97003,1920.1726,775.21008,,1238.806,928.29456,,,62.836624,,,,12.185215,4064.1838,85.007729,,46.187683,0.0,62.283737,0.0,1.953125,0.0,0.60975611,1.1785504,1.1383039,67.143646,17.590618,13.989637,,,,,,
